feature,mean_shap
discharge_disposition_id,0.11880213457618478
number_inpatient,0.10279219050718187
diabetesMed,0.09967129346640717
age,0.09712912377049665
time_in_hospital,0.08387071235015556
metformin,0.0699828264582239
number_diagnoses,0.06668390192823367
change,0.04153536520398895
num_lab_procedures,0.0334017848157832
A1Cresult,0.029532440747695943
diag_1,0.02909107146884524
number_emergency,0.028037277506701184
admission_source_id,0.023928720917585508
admission_type_id,0.023234948757744737
max_glu_serum,0.02292108923368912
insulin,0.017834064707397835
diag_2,0.01753051323433252
num_procedures,0.015408005461002893
glyburide,0.013186602234318539
glimepiride,0.009978841110185736
medical_specialty,0.008371221358638131
pioglitazone,0.00808494845905388
glipizide,0.005370505300582901
race,0.004979899182313763
rosiglitazone,0.0046928647074731215
num_medications,0.0034996475035126737
diag_3,0.003103133806254271
glyburide-metformin,0.002888386552815921
gender,0.0015373247278170216
repaglinide,0.0013273657051057798
nateglinide,0.0007185280562649844
number_outpatient,0.0001166650467904989
chlorpropamide,0.0001052449606168773
miglitol,3.162995403472202e-05
acarbose,1.2353450079993345e-05
tolazamide,4.470239001039595e-06
tolbutamide,4.19734453272042e-07
glipizide-metformin,2.7694839028757445e-07
acetohexamide,0.0
troglitazone,0.0
examide,0.0
citoglipton,0.0
glimepiride-pioglitazone,0.0
metformin-pioglitazone,0.0
metformin-rosiglitazone,0.0
